gene_set	p-value	q-value	enrich_description
TGGAAA_NFAT_Q4_01	4.2007185824064913e-13	3.304465267717335e-10	(17776, 158, 1233, 40, 'SMARCE1;ERBB3;AKTIP;NT5C2;ATP1B1;TRPC4AP;JMJD1C;HMGCR;HNF1B;LRP5;IRF4;CEP120;SIX6;HMGA2;SMAD3;IL18R1;TP53;HOXA11;IL5;TCTA;CAMKV;WNT3;PTCH1;SH2B3;TNNT3;NFAT5;RHOA;GPX1;WNT4;PHTF1;CADM2;HOXA13;CDK6;TCF4;PITX2;RREB1;NPR3;RERE;BSN;CELF4')
RNGTGGGC_UNKNOWN	1.3505950665547023e-12	9.916068978644625e-10	(17776, 158, 487, 25, 'LRP1;TET2;STAT6;ASPHD1;ALDOA;ADAMTS13;MAMSTR;CELSR2;HOXA11;PDLIM4;USP4;ATXN2L;CRHR1;USP49;PTCH1;CCND2;CERS5;CADM2;MAN2A2;SPATA2L;BCL7C;PITX2;NPR3;RERE;CELF4')
SCGGAAGY_ELK1_02	1.5822457390259229e-12	1.0890795202432805e-09	(17776, 158, 676, 29, 'KCTD13;AKTIP;SETD8;ACP2;ZNF259;CELF1;CLN3;TUFM;AAGAB;PSMA4;MRPL33;TOMM40;RPL6;ALDOA;NME7;TP53;ZNF513;ANAPC4;APEH;ERI1;TCTA;SEMA3F;IQCH;ZNF512;CCND2;RHOA;TNRC6A;PHTF1;HIRIP3;PITX2;GTF3C2;MTMR9;INO80E')
chr8p23	2.2753476802267074e-12	1.474023764843337e-09	(17776, 158, 19, 8, 'XKR6;GATA4;MSRA;TNKS;ERI1;PINX1;MFHAS1;CLDN23;OR7E161P;DEFB134;NEIL2;FAM167A;RNU7-55P;RP1L1;DEFB136;PPP1R3B;FDFT1;RPL19P13;BLK;SGK223;MTMR9')
GSE31082_DN_VS_CD4_SP_THYMOCYTE_DN	3.436132037503525e-12	2.10234011827924e-09	(17776, 158, 146, 15, 'MADD;CORO1A;KLHDC8B;ATP1B1;RBM5;IRF1;BACH2;CERS5;ZNF513;SEPT9;RBL2;NFAT5;RERE;SBK1;MFHAS1')
NUYTTEN_NIPP1_TARGETS_DN	4.637178937113726e-12	2.6878553491807087e-09	(17776, 158, 608, 27, 'LPP;TRPC4AP;SETD8;SURF4;ZBTB38;HMGCR;AAGAB;HEXIM1;AFG3L1P;HMGA2;IGF2BP2;NUP160;FAM114A1;TCF7L2;NSF;SH2B3;RIOK3;PLCE1;NCOA6;DAG1;WNT4;PHTF1;HOXA13;CDK6;CHRNA5;KIAA1199;MTMR9')
MARSON_BOUND_BY_FOXP3_UNSTIMULATED	9.392821914491283e-12	5.1721573872146254e-09	(17776, 158, 727, 29, 'RPS26;TRPC4AP;C9orf96;SURF4;ITCH;DCLRE1B;C18orf8;STAT6;PML;IRF4;CEP120;PTPN22;PTPRJ;MADD;SMAD3;TP53;TRAIP;FOXO3;USP4;TCTA;CPNE7;ATP2A1;GTF2B;CCND2;NHLRC2;RBL2;SLC22A4;PKN2;RHOA;AP4B1;RBM6;RBM5;SLC22A5;TCF4;MAD1L1;NPC1;WNT2B')
CACGTG_MYC_Q2	1.2606981150646284e-11	6.3109401550939786e-09	(17776, 158, 635, 27, 'NAA25;TET2;CLN3;CELF1;ASPHD1;GATA4;GPD1;ALDOA;HHIP;APOA5;IKZF3;FOXO3;HOXA11;MTCH2;CAMKV;MFHAS1;FEN1;SEMA3F;PTCH1;NCOA6;GPX1;ADCY3;PPP1R3B;IGF2R;SPATA2L;BCL7C;TCF4;MON1A')
CAGCTG_AP4_Q5	1.2101786728340996e-11	6.3109401550939786e-09	(17776, 158, 951, 33, 'PMEL;DOC2A;ERBB3;LRP1;JMJD1C;PML;LRP5;AFG3L1P;GPD1;DBNDD1;CPS1;HMGA2;APOA5;LSP1;ZNF513;PDLIM4;CNNM2;OGFOD2;CAMKV;DLEU1;RAB5B;USP49;SH2B3;CCND2;PRDM8;NHLRC2;TNNT3;RAPSN;GPX1;WNT4;PAM;BACH2;CADM2;SLC38A3;FES;TCF4;WNT2B')
KIM_ALL_DISORDERS_OLIGODENDROCYTE_NUMBER_CORR_UP	1.5201821484876354e-11	6.975735833872637e-09	(17776, 158, 454, 23, 'ALDH2;TRA2B;ERP29;HMGCR;TUFM;CLCN6;ALDOA;FADS2;MADD;CORO1A;NDUFS3;CHMP1A;TCTA;EIF2B4;FNDC4;NSF;MAPK3;FTO;RHOA;SMARCA4;GPX1;PAM;MAN2A2;SULT1A1;IP6K1;BSN;MTMR9')
BRUINS_UVC_RESPONSE_LATE	1.490664391159976e-11	6.975735833872637e-09	(17776, 158, 741, 29, 'SEPT9;CLN3;CMIP;AAGAB;STAT6;MRPL33;PSMA4;ARHGAP27;LDLR;PTPN22;HMGA2;FADS2;ABCG8;MSRA;NDUFS3;PPP6R3;CNNM2;FAM114A1;DPEP1;IQCH;RIOK3;CCND2;RBL2;FTO;PTPN11;BCL2L15;TCF4;NPC1;MTMR9')
CTTTGA_LEF1_Q2	1.607828405438633e-11	7.082805691638267e-09	(17776, 158, 796, 30, 'AKTIP;DCLRE1B;HNF1B;CPS1;CASZ1;IKZF3;TNKS;IL18R1;NDUFS3;CCR7;IL1RL1;SLC39A8;HOXA11;TCF7L2;WNT3;EIF2B4;USP49;PTCH1;AP4B1;PHTF1;PAM;HOXA13;MLXIP;IL18RAP;TCF4;PITX2;NPR3;RERE;KBTBD4;CELF4')
PUJANA_BRCA1_PCC_NETWORK	1.765215413283722e-11	7.47704513326678e-09	(17776, 158, 1022, 34, 'TRA2B;ERP29;ZNF259;HMGCR;CD19;CYB5B;FDFT1;PSMA4;MRPL33;TOMM40;IRF4;RPL6;PTPRJ;MPHOSPH9;PTPN22;CORO1A;GPN1;TP53;FNBP4;NUP160;TRIM27;ATXN2L;DLEU1;CRHR1;FEN1;GTF2B;GNAT1;PPM1G;SMARCA4;MAPKAPK5;ABO;FADS1;TAOK2;RREB1;BLK;GTF3C2;MAP3K4;BRAP')
RYTTCCTG_ETS2_B	2.4134800474319015e-11	9.844316949025012e-09	(17776, 158, 704, 28, 'TRPC4AP;NT5C2;BCL3;CD19;CMIP;CSF2;GATA4;LRP5;GPD1;MADD;SMAD3;LSP1;FOXO3;HOXA11;PRICKLE4;ADAMTS7;WNT3;SEMA3F;GTF2B;SH2B3;NFAT5;PTPN11;GPX1;IGF2R;ZNF276;IL18RAP;FURIN;PITX2')
DEBIASI_APOPTOSIS_BY_REOVIRUS_INFECTION_DN	3.711087323437885e-11	1.4596501676079081e-08	(17776, 158, 203, 16, 'ADCY3;FADS2;SEPT9;SULT1A2;FANCA;HEXIM1;FAM114A1;IGF2R;CELSR2;SUOX;FADS1;STAT6;DAG1;LRP5;LDLR;TRIM27')
PUJANA_ATM_PCC_NETWORK	5.2023757258410916e-11	1.9756470299547566e-08	(17776, 158, 947, 32, 'NT5C2;TRA2B;CD19;CELF1;PSMA4;MRPL33;IRF4;HEXIM1;HNF1B;RPL6;TLR6;SIX6;PHACTR1;MPHOSPH9;TOMM40;CORO1A;GPN1;TNKS;TP53;FNBP4;SETD1A;USP4;DLEU1;CRHR1;MAPT;GTF2B;RIOK3;GNAT1;NCOA6;RBM6;ABO;RREB1')
CASORELLI_ACUTE_PROMYELOCYTIC_LEUKEMIA_DN	5.642705053406171e-11	2.0714370251054052e-08	(17776, 158, 440, 22, 'HMGCR;TUFM;AAGAB;LDLR;HEXIM1;ALDOA;HMGA2;FADS2;NCAPG;TRAFD1;DLEU1;FEN1;PPM1G;APOC1;DAG1;TCF4;FADS1;HIRIP3;GMPPB;FDFT1;NPR3;MAD1L1')
MARTINEZ_TP53_TARGETS_DN	5.927758617480167e-11	2.105884053364809e-08	(17776, 158, 398, 21, 'PMEL;SETD8;CELF1;TUFM;TCHH;SLC9A3R2;HHIP;NME7;TP53;CELSR2;APOE;GTF2B;RIOK3;CCND2;PIGU;SMARCA4;PVRL2;TNRC6A;BACH2;MST1R;CELF4')
GSE43863_LY6C_INT_CXCR5POS_VS_LY6C_LOW_CXCR5NEG_EFFECTOR_CD4_TCELL_UP	6.864073233218962e-11	2.3623137036700134e-08	(17776, 158, 150, 14, 'RBM6;SMARCE1;TP53;IL18R1;PPP1R3B;LSP1;LIMA1;CD19;CDK6;EFEMP1;UHRF2;RABEP2;SGK223;TLR1')
PILON_KLF1_TARGETS_DN	1.0613795710252663e-10	3.542113095667048e-08	(17776, 158, 1278, 37, 'NAA25;ALDH2;TRA2B;ATP1B1;WDR36;SETD8;SMARCE1;PPA2;CLN3;CELF1;ITCH;CCDC101;HMGA2;MPHOSPH9;CORO1A;GPN1;LSP1;SBNO1;GTF3C2;ANAPC4;EXOC2;TRIM27;F5;SH2B3;CCND2;RIOK3;RBL2;NCOA6;INO80;CERS5;TNRC6A;SH2B1;MLXIP;SLC22A5;IL18RAP;CDK6;MAN2A2;BCL7C;RREB1;RERE;MTMR9')
NFKB_C	1.1291279378299888e-10	3.657378229212255e-08	(17776, 158, 186, 15, 'TSLP;BCL3;IRF1;IL18R1;TCTA;IL27;CDK6;SH2B3;HOXA11;STAT6;GATA4;NFAT5;RHOA;BCKDK;PTPRJ')
ISRE_01	1.2182917009333245e-10	3.726957361771862e-08	(17776, 158, 187, 15, 'UBA7;TCF7L2;IKZF3;SIX1;LSP1;IL27;CDK6;PTCH1;SH2B3;CYB5B;STAT6;PML;PKN2;NPR3;GPX1')
ROVERSI_GLIOMA_COPY_NUMBER_UP	1.20456392440445e-10	3.726957361771862e-08	(17776, 158, 43, 9, 'MADD;PVRL2;BCL3;ACP2;NR1H3;BCAM;APOC1;APOE;TOMM40;PTPRJ')
NABA_MATRISOME_ASSOCIATED	1.8365482707690234e-10	5.4664611097241234e-08	(17776, 158, 468, 22, 'CSF2;P4HA2;TCHH;TCHHL1;HHIP;ADAMTS13;C1QTNF4;LPA;WNT2B;IL3;IL5;ADAMTS7;OGFOD2;WNT3;SEMA3F;PLG;FLG2;WNT4;SERPINA1;FGF5;GDF5;MST1;FLG')
MARTORIATI_MDM4_TARGETS_FETAL_LIVER_DN	2.3126076033084144e-10	6.70230198295673e-08	(17776, 158, 385, 20, 'LPP;TRPC4AP;HMGCR;CELF1;GATA4;HEXIM1;FADS2;SMAD3;SLC39A8;APOE;TCF7L2;APOB;PLG;RBM5;SERPINA1;TCF4;ATXN2;FAM109A;PITX2;GTF3C2')
GSE15930_STIM_VS_STIM_AND_TRICHOSTATINA_48H_CD8_T_CELL_DN	2.500658335684265e-10	7.061474423305336e-08	(17776, 158, 136, 13, 'GAS8;UBA7;SETD8;SMAD3;CLN3;CCND2;PML;PIGU;IRF4;MTHFR;PNPT1;NRBP1;TRAFD1')
AML_Q6	2.7290730699596167e-10	7.513820429866315e-08	(17776, 158, 198, 15, 'MADD;TRPM8;HHIP;IL3;IL18RAP;PTCH1;MKLN1;CSF2;GATA4;NHLRC2;KIAA1199;ARHGAP27;GPD1;GPX1;PTPN22')
KRIGE_RESPONSE_TO_TOSEDOSTAT_6HR_UP	3.6072253698289347e-10	9.689359267786843e-08	(17776, 158, 632, 25, 'LPP;BCL3;C11orf30;AKTIP;ADRB1;PPA2;PML;TOMM40;CEP120;NR1H3;ZNF311;CENPBD1;NUP160;GAL;TRAFD1;SH2B3;RIOK3;NFAT5;IGF2R;IL18RAP;CDK6;TCF4;NQO1;ZNF652;BRAP')
MARTINEZ_RB1_AND_TP53_TARGETS_DN	3.7928134189470753e-10	9.945298614967652e-08	(17776, 158, 396, 20, 'PMEL;SETD8;CELF1;TUFM;TCHH;SLC9A3R2;HHIP;NME7;CELSR2;APOE;GTF2B;RIOK3;CCND2;PIGU;SMARCA4;RBM6;PVRL2;TNRC6A;BACH2;CELF4')
ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	4.915822665902454e-10	1.259022209757761e-07	(17776, 158, 975, 31, 'SGK223;WDR36;CD19;RP1;GATA4;IRF4;FAM57B;HMGA2;TCHHL1;APOA5;LSP1;MAMSTR;TRAIP;SLC39A8;PDLIM4;APOBR;FAM184B;IL3;RGL3;MAPT;ZNF831;TNNT3;OR2J3;TPD52L3;BACH2;RASIP1;ZNF276;SULT1A1;NPC1;MAP3K4;CELF4')
GSE360_CTRL_VS_M_TUBERCULOSIS_DC_UP	5.577943964152682e-10	1.3961340199366702e-07	(17776, 158, 145, 13, 'SEPT9;SMARCE1;EIF2B4;TP53;MAN2A2;FOXO3;CDK10;RERE;ATXN2;STAT6;RBL2;APOC1;GTF3C2')
GARY_CD5_TARGETS_UP	5.770374302127495e-10	1.412202937540669e-07	(17776, 158, 321, 18, 'BCL3;IRF1;KAT8;TP53;LSP1;CCR7;CDK10;HMGCR;TCF4;APEH;NOS3;NFAT5;PKN2;FDFT1;LDLR;BCKDK;ATXN2L;MFHAS1')
TGTTTGY_HNF3_Q6	7.154110906275592e-10	1.7127874654524587e-07	(17776, 158, 503, 22, 'C11orf30;TRPC4AP;ERBB3;AKTIP;CD19;CSF2;PTPN22;IKZF3;HOXA11;NOS3;TCF7L2;SLC22A2;RAB5B;MAPK3;PTCH1;CADM2;SLC38A3;SERPINA1;TCF4;PITX2;RREB1;RERE')
SCHAEFFER_PROSTATE_DEVELOPMENT_6HR_DN	7.805206269470744e-10	1.8289092903336447e-07	(17776, 158, 369, 19, 'LPP;SEPT9;AKTIP;ATP1B1;LRP1;LIMA1;TET2;HMGCR;L3MBTL3;PTPRJ;TP53;LSP1;PHB;NCOA6;PTPN11;TNRC6A;HOXA13;FAM109A;FURIN')
SPIELMAN_LYMPHOBLAST_EUROPEAN_VS_ASIAN_UP	8.614863680747536e-10	1.936234565634135e-07	(17776, 158, 289, 17, 'RAB5B;NCAPG;TP53;FANCA;TOMM40;HEXIM1;PPA2;CD19;CHMP1A;CYB5B;CCND2;BLK;RREB1;SMARCA4;MAD1L1;NPC1;GPX1')
GRAESSMANN_APOPTOSIS_BY_DOXORUBICIN_UP	8.50817910941005e-10	1.936234565634135e-07	(17776, 158, 712, 26, 'UBA7;ALDH2;ERBB3;SURF4;ZNF259;PML;INO80E;CCDC101;ARHGAP27;HEXIM1;GPD1;SBK1;SLC9A3R2;CORO1A;CELSR2;PPP6R3;SLC19A2;PITPNM2;CDHR4;PNPT1;ADAMTS7;CLDN23;OGFOD2;TRAFD1;GTF2B;RBL2;PTPN11;MTHFR;CELF4')
BENPORATH_MYC_MAX_TARGETS	9.785101720294224e-10	2.1552665049120057e-07	(17776, 158, 464, 21, 'RPS26;CLN3;ZNF259;CLCN6;MADD;NCAPG;LSP1;SMAD3;TP53;SLC39A8;USP4;DLEU1;NFAT5;PKN2;SLC22A4;SLC22A3;AP4B1;MST1R;CDK6;MKLN1;BLK')
NABA_MATRISOME	1.1320439282511997e-09	2.4445489768295025e-07	(17776, 158, 668, 25, 'RSPO3;CSF2;P4HA2;TCHH;TCHHL1;HHIP;ADAMTS13;C1QTNF4;LPA;EFEMP1;WNT2B;IL3;IL5;ADAMTS7;OGFOD2;WNT3;SEMA3F;PLG;FLG2;WNT4;SERPINA1;FGF5;GDF5;MST1;FLG')
WEST_ADRENOCORTICAL_TUMOR_DN	1.1658482959547093e-09	2.469132169874849e-07	(17776, 158, 378, 19, 'ERBB3;IRF1;LRP1;AMT;IL33;LRP5;IRF4;MSRA;LSP1;NUPR1;CNNM2;KCNK3;EIF2B4;PTCH1;APOC1;WNT4;ADH1B;OR2J3;RASIP1')
KRIGE_RESPONSE_TO_TOSEDOSTAT_24HR_UP	1.2370815789315809e-09	2.5705621563723584e-07	(17776, 158, 518, 22, 'LPP;BCL3;C11orf30;AKTIP;ADRB1;PPA2;PML;CEP120;IL18R1;LSP1;ZNF311;CENPBD1;ARHGEF40;TMEM116;SH2B3;RIOK3;NFAT5;IGF2R;IL18RAP;TCF4;NQO1;ZNF652;BRAP')
ACCAAAG_MIR9	1.5137885609617687e-09	3.0872876707170294e-07	(17776, 158, 384, 19, 'LPP;TRA2B;ATP1B1;P4HA2;LIN28B;HNF1B;HMGA2;ADAMTS13;IKZF4;IGF2BP2;HOXA11;PPP6R3;CNNM2;SLC19A2;SH2B3;WNT4;RBM5;FURIN;CELF4')
DODD_NASOPHARYNGEAL_CARCINOMA_UP	1.8086907479327085e-09	3.6216565830878035e-07	(17776, 158, 1029, 31, 'HOTTIP;NT5C2;ADRB1;CD19;ZBTB38;AGBL2;GATA4;IFT172;PHACTR1;CASZ1;MSRA;CHMP1A;USP4;CHRNA3;TCTA;CLDN23;GAS8;SIX1;KLHDC8B;IQCH;MAPK3;RERE;PLCE1;NHLRC2;SLC22A4;ADH1B;TSLP;MAGI3;BCL2L15;DEF8;MST1;GMPPB;BLK;NQO1')
MEISSNER_BRAIN_HCP_WITH_H3K27ME3	1.9445849268506427e-09	3.824234607036809e-07	(17776, 158, 193, 14, 'HMGA2;SIX1;IKZF3;BCL3;WNT3;HOXA13;HOXA11;GATA4;PITX2;HNF1B;GAL;CHRNA3;WNT2B;SIX6')
GRESHOCK_CANCER_COPY_NUMBER_UP	2.12290907207255e-09	4.1016837913570164e-07	(17776, 158, 267, 16, 'HMGA2;LPP;SEPT9;BCL3;TP53;FANCA;HOXA13;ACSL6;FOXO3;CDK6;CCND2;HOXA11;JAZF1;PML;IRF4;PTPN11;CDKN2A')
ACTAYRNNNCCCR_UNKNOWN	2.3642377120371105e-09	4.4891982625283963e-07	(17776, 158, 269, 16, 'C11orf30;TRPC4AP;FEN1;TP53;EIF2B4;ZNF513;IZUMO1;ITCH;MON1A;HIRIP3;NOS3;RBL2;CCDC101;RPL6;BCKDK;INO80E')
GSE4984_UNTREATED_VS_GALECTIN1_TREATED_DC_UP	2.6653576713750986e-09	4.975183734721011e-07	(17776, 158, 134, 12, 'PLEKHM1;BCL3;SLC22A4;RAB5B;IGF2BP2;SERPINA1;MAPK3;ITCH;CMIP;PKN2;USP4;TLR6')
NFKAPPAB_01	3.1891933200490433e-09	5.853764338950018e-07	(17776, 158, 167, 13, 'TSLP;BCL3;ATP1B1;IRF1;TP53;IL27;CDK6;SH2B3;HOXA11;STAT6;GATA4;NFAT5;BCKDK')
SCHLOSSER_SERUM_RESPONSE_DN	3.6134172187407405e-09	6.475086305295865e-07	(17776, 158, 549, 22, 'SMARCE1;NT5C2;TRA2B;LRP1;HMGCR;CYB5B;ASPHD1;BCAM;MRPL33;PSMA4;LDLR;IRF4;GPN1;SLC39A8;NUP160;GTF2B;RIOK3;RBL2;FTO;PTPN11;FDFT1;MTMR9')
AACTTT_UNKNOWN	3.645286034035627e-09	6.475086305295865e-07	(17776, 158, 1317, 35, 'C11orf30;IRF1;SETD8;LRP1;CMIP;JAZF1;TLR1;CASZ1;OR2W1;IKZF3;SMAD3;IL18R1;TP53;FOXO3;HOXA11;PITX2;MTCH2;CAMKV;TCF7L2;WNT3;EIF2B4;SEMA3F;MAPK3;PTCH1;NFAT5;GPX1;PPP1R3B;IGF2R;SLC22A5;CDK6;TCF4;GMPPB;RREB1;MAP3K4;CELF4')
GSE43955_TH0_VS_TGFB_IL6_TH17_ACT_CD4_TCELL_42H_UP	4.4043643814229996e-09	7.699248402001825e-07	(17776, 158, 140, 12, 'IRF1;RAB5B;PHTF1;TRAIP;HMGCR;IL1RL1;SH2B3;BCL7C;PIGU;LDLR;KCNK3;TRAFD1')
