Subgraph	Loci	Num_of_clumps	Gene_list	Num_of_genes	Num_of_SNPs	Num_of_nodes Phens	
11_16_18_20_21_33_71_157	clump29	1	ADH1B	1	1	8	(157)Reason for reducing amount of alcohol drunk: Health precaution; (16)Average weekly red wine intake; (21)Leg fat mass (right); (11)Alcohol intake frequency.; (33)Systolic blood pressure, automated reading; (71)Non-cancer illness code, self-reported: gout; (18)Average weekly beer plus cider intake; (157)Alcohol drinker status: Never; (21)Leg fat mass (left); (71)Treatment/medication code: allopurinol; (20)Alcohol intake versus 10 years previously
3_11_21_33_70_153	clump38	1	BANK1; SLC39A8	2	10	6	(21)Body mass index (BMI); (21)Leg fat mass (right); (33)Non-cancer illness code, self-reported: hypertension; (21)Leg fat percentage (left); (21)Waist circumference; (21)Arm fat percentage (left); (21)Weight; (70)Prospective memory result; (21)Comparative body size at age 10; (153)Fluid intelligence score; (21)Body fat percentage; (21)Arm fat percentage (right); (3)Usual walking pace; (7)Sleep duration; (11)Alcohol intake frequency.; (3)Time spent watching television (TV); (21)Whole body fat mass; (21)Leg fat percentage (right); (21)Trunk fat mass; (21)Sitting height; (33)Vascular/heart problems diagnosed by doctor: High blood pressure; (21)Arm fat mass (left); (21)Impedance of leg (left); (21)Standing height; (33)Diastolic blood pressure, automated reading; (11)Hand grip strength (left); (21)Arm fat mass (right); (21)Impedance of leg (right); (21)Trunk fat percentage; (21)Leg fat mass (left); (11)Hand grip strength (right); (229)Types of physical activity in last 4 weeks: Strenuous sports; (9)Pain type(s) experienced in last month: None of the above; (70)Non-cancer illness code, self-reported: osteoarthritis; (21)Hip circumference
3_11_21_33_70_153_229	clump38	1	BANK1; SLC39A8	2	2	7	(21)Body mass index (BMI); (21)Leg fat mass (right); (33)Non-cancer illness code, self-reported: hypertension; (21)Leg fat percentage (left); (21)Waist circumference; (21)Arm fat percentage (left); (21)Weight; (70)Prospective memory result; (21)Comparative body size at age 10; (153)Fluid intelligence score; (21)Body fat percentage; (21)Arm fat percentage (right); (3)Usual walking pace; (7)Sleep duration; (11)Alcohol intake frequency.; (3)Time spent watching television (TV); (21)Whole body fat mass; (21)Leg fat percentage (right); (21)Trunk fat mass; (21)Sitting height; (33)Vascular/heart problems diagnosed by doctor: High blood pressure; (21)Arm fat mass (left); (21)Impedance of leg (left); (21)Standing height; (33)Diastolic blood pressure, automated reading; (11)Hand grip strength (left); (21)Arm fat mass (right); (21)Impedance of leg (right); (21)Trunk fat percentage; (21)Leg fat mass (left); (11)Hand grip strength (right); (229)Types of physical activity in last 4 weeks: Strenuous sports; (70)Non-cancer illness code, self-reported: osteoarthritis; (21)Hip circumference
3_7_11_21_33_70_153_229	clump38	1	SLC39A8	1	1	8	(21)Body mass index (BMI); (21)Leg fat mass (right); (33)Non-cancer illness code, self-reported: hypertension; (21)Leg fat percentage (left); (21)Waist circumference; (21)Arm fat percentage (left); (21)Weight; (70)Prospective memory result; (21)Comparative body size at age 10; (153)Fluid intelligence score; (21)Body fat percentage; (21)Arm fat percentage (right); (3)Usual walking pace; (7)Sleep duration; (11)Alcohol intake frequency.; (3)Time spent watching television (TV); (21)Whole body fat mass; (21)Leg fat percentage (right); (21)Trunk fat mass; (21)Sitting height; (21)Arm fat mass (left); (21)Impedance of leg (left); (21)Standing height; (33)Diastolic blood pressure, automated reading; (11)Hand grip strength (left); (21)Arm fat mass (right); (21)Impedance of leg (right); (21)Trunk fat percentage; (21)Leg fat mass (left); (11)Hand grip strength (right); (229)Types of physical activity in last 4 weeks: Strenuous sports; (70)Non-cancer illness code, self-reported: osteoarthritis; (21)Hip circumference
3_9_11_21_33_70_153	clump38	1	SLC39A8	1	1	7	(21)Body mass index (BMI); (21)Leg fat mass (right); (21)Comparative body size at age 10; (21)Leg fat percentage (left); (21)Waist circumference; (21)Arm fat percentage (left); (21)Weight; (70)Prospective memory result; (153)Fluid intelligence score; (21)Body fat percentage; (21)Arm fat percentage (right); (3)Usual walking pace; (11)Alcohol intake frequency.; (3)Time spent watching television (TV); (21)Whole body fat mass; (21)Leg fat percentage (right); (21)Trunk fat mass; (21)Sitting height; (21)Arm fat mass (left); (21)Impedance of leg (left); (21)Standing height; (33)Diastolic blood pressure, automated reading; (11)Hand grip strength (left); (21)Arm fat mass (right); (21)Impedance of leg (right); (21)Trunk fat percentage; (21)Leg fat mass (left); (11)Hand grip strength (right); (9)Pain type(s) experienced in last month: None of the above; (70)Non-cancer illness code, self-reported: osteoarthritis; (21)Hip circumference
3_11_15_21_153_154	clump28; clump24; clump19	3	TET2-AS1; TET2	2	12	6	(21)Weight; (154)Birth weight of first child; (11)Forced expiratory volume in 1-second (FEV1), Best measure; (153)Fluid intelligence score; (21)Trunk predicted mass; (11)Forced vital capacity (FVC), Best measure; (21)Arm predicted mass (left); (21)Leg fat-free mass (right); (11)Qualifications: College or University degree; (21)Arm predicted mass (right); (21)Sitting height; (21)Whole body water mass; (3)Job involves heavy manual or physical work; (21)Leg predicted mass (right); (21)Leg predicted mass (left); (21)Standing height; (21)Comparative height size at age 10; (21)Arm fat-free mass (right); (21)Basal metabolic rate; (11)Forced vital capacity (FVC); (21)Arm fat-free mass (left); (21)Trunk fat-free mass; (3)Job involves mainly walking or standing; (21)Whole body fat-free mass; (21)Leg fat-free mass (left); (11)Forced expiratory volume in 1-second (FEV1); (15)Number of operations, self-reported
3_4_11_21_202_204	clump20	1	MEF2C; LINC00461	2	2	6	(3)Qualifications: A levels/AS levels or equivalent; (3)Qualifications: None of the above; (204)Qualifications: Other professional qualifications eg: nursing, teaching; (4)Time spent using computer; (11)Qualifications: College or University degree; (202)Qualifications: O levels/GCSEs or equivalent; (21)Trunk fat percentage
11_14_21_43	clump27; clump25; clump37	3	CCND2-AS1; PAM; FTO	3	34	4	(21)Impedance of arm (right); (21)Body mass index (BMI); (11)Relative age of first facial hair; (21)Comparative body size at age 10; (21)Leg fat mass (right); (21)Leg fat percentage (left); (21)Waist circumference; (21)Arm fat percentage (left); (21)Weight; (18)Average weekly beer plus cider intake; (33)Non-cancer illness code, self-reported: hypertension; (73)Medication for cholesterol, blood pressure or diabetes: None of the above; (11)Forced expiratory volume in 1-second (FEV1), Best measure; (21)Impedance of arm (left); (11)Forced vital capacity (FVC), Best measure; (21)Trunk predicted mass; (21)Body fat percentage; (33)Vascular/heart problems diagnosed by doctor: None of the above; (21)Arm predicted mass (left); (21)Arm fat percentage (right); (29)Cancer code, self-reported: breast cancer; (3)Usual walking pace; (7)Sleep duration; (11)Alcohol intake frequency.; (195)Heel bone mineral density (BMD) T-score, automated; (21)Leg fat-free mass (right); (21)Whole body fat mass; (21)Arm predicted mass (right); (21)Leg fat percentage (right); (43)Illnesses of mother: Diabetes; (14)Diabetes diagnosed by doctor; (21)Trunk fat mass; (43)Illnesses of father: Diabetes; (21)Sitting height; (33)Vascular/heart problems diagnosed by doctor: High blood pressure; (174)Age when periods started (menarche); (14)Non-cancer illness code, self-reported: diabetes; (21)Arm fat mass (left); (21)Whole body water mass; (21)Impedance of leg (left); (21)Leg predicted mass (right); (21)Leg predicted mass (left); (21)Impedance of whole body; (21)Standing height; (21)Comparative height size at age 10; (21)Arm fat-free mass (right); (43)Treatment/medication code: metformin; (21)Basal metabolic rate; (21)Hip circumference; (11)Hand grip strength (left); (11)Forced vital capacity (FVC); (21)Arm fat-free mass (left); (21)Trunk fat-free mass; (21)Trunk fat percentage; (21)Impedance of leg (right); (21)Arm fat mass (right); (21)Leg fat mass (left); (11)Peak expiratory flow (PEF); (10)Snoring; (11)Hand grip strength (right); (21)Whole body fat-free mass; (181)Sodium in urine; (21)Leg fat-free mass (left); (11)Forced expiratory volume in 1-second (FEV1); (8)Morning/evening person (chronotype); (154)Birth weight
11_14_21_154_195	clump32	1	RREB1	1	1	5	(21)Standing height; (195)Heel bone mineral density (BMD) T-score, automated; (21)Arm fat-free mass (right); (21)Arm predicted mass (right); (154)Birth weight of first child; (14)Diabetes diagnosed by doctor; (11)Forced vital capacity (FVC), Best measure; (21)Trunk predicted mass; (11)Forced vital capacity (FVC); (21)Sitting height; (21)Trunk fat-free mass; (14)Non-cancer illness code, self-reported: diabetes
11_21_36_71_153	clump36	1	SLC17A3	1	1	5	(21)Body mass index (BMI); (21)Leg fat mass (right); (71)Non-cancer illness code, self-reported: gout; (153)Mouth/teeth dental problems: Dentures; (11)Forced expiratory volume in 1-second (FEV1), predicted percentage; (11)Forced expiratory volume in 1-second (FEV1), Best measure; (11)Forced expiratory volume in 1-second (FEV1); (11)Forced vital capacity (FVC); (21)Leg fat mass (left); (36)Non-cancer illness code, self-reported: malabsorption/coeliac disease
1_11_21_33_65	clump11	1	HFE; SLC17A3; HIST1H1C; HIST1H2AC	4	5	5	(21)Standing height; (21)Comparative height size at age 10; (33)Non-cancer illness code, self-reported: hypertension; (33)Diastolic blood pressure, automated reading; (21)Impedance of arm (left); (11)Forced vital capacity (FVC); (33)Vascular/heart problems diagnosed by doctor: High blood pressure; (65)Non-cancer illness code, self-reported: hereditary/genetic haematological disorder; (1)Pulse rate, automated reading
