pathway	n_phen	n_clust	enrich_un_n2	un_n2_erich
RUTELLA_RESPONSE_TO_HGF_VS_CSF2RB_AND_IL4_UP	71	25	10	6
GTTTGTT_MIR495	66	21	9	6
TGTTTAC_MIR30A5P_MIR30C_MIR30D_MIR30B_MIR30E5P	81	32	12	7
CTTTGTA_MIR524	86	37	13	6
PAX4_01	67	25	11	4
FORTSCHEGGER_PHF8_TARGETS_DN	76	24	10	5
ZWANG_TRANSIENTLY_UP_BY_1ST_EGF_PULSE_ONLY	107	43	14	9
GSE12845_NAIVE_VS_DARKZONE_GC_TONSIL_BCELL_UP	59	16	7	3
TGATTTRY_GFI1_01	84	35	13	6
E2A_Q2	64	21	9	4
DIAZ_CHRONIC_MEYLOGENOUS_LEUKEMIA_UP	79	30	12	6
TCF1P_Q6	66	22	10	6
RORA1_01	61	19	8	4
LMO2COM_02	72	28	13	4
CACCCBINDINGFACTOR_Q6	67	20	9	4
WGTTNNNNNAAA_UNKNOWN	91	43	14	7
ER_Q6	65	18	8	5
BONOME_OVARIAN_CANCER_SURVIVAL_SUBOPTIMAL_DEBULKING	66	22	8	4
HOXA4_Q2	66	23	13	5
PUJANA_ATM_PCC_NETWORK	84	33	14	9
BENPORATH_MYC_MAX_TARGETS	70	24	11	6
RODRIGUES_NTN1_TARGETS_DN	51	15	7	2
ACATTCC_MIR1_MIR206	66	23	7	5
CACBINDINGPROTEIN_Q6	61	18	10	5
GSE36476_YOUNG_VS_OLD_DONOR_MEMORY_CD4_TCELL_40H_TSST_ACT_DN	61	19	10	5
PATIL_LIVER_CANCER	69	22	10	5
GATA1_03	74	29	11	6
FOXO4_01	66	22	9	4
TAAWWATAG_RSRFC4_Q2	61	18	6	3
AREB6_04	74	27	12	6
POU6F1_01	80	35	12	5
TGAATGT_MIR181A_MIR181B_MIR181C_MIR181D	86	39	11	6
RCGCANGCGY_NRF1_Q6	70	23	9	7
SENESE_HDAC3_TARGETS_DN	67	22	10	4
GSE19401_RETINOIC_ACID_VS_RETINOIC_ACID_AND_PAM2CSK4_STIM_FOLLICULAR_DC_DN	53	12	5	2
BENPORATH_EED_TARGETS	109	49	14	9
WONG_ADULT_TISSUE_STEM_MODULE	89	42	13	5
RGAGGAARY_PU1_Q6	78	29	11	7
GSE16385_MONOCYTE_VS_12H_IL4_TREATED_MACROPHAGE_DN	53	12	6	3
MARSON_BOUND_BY_FOXP3_STIMULATED	74	29	13	6
P300_01	66	21	12	5
VDR_Q6	65	21	9	5
GSE9988_ANTI_TREM1_AND_LPS_VS_VEHICLE_TREATED_MONOCYTES_DN	53	13	8	3
AP2_Q6_01	66	20	11	6
BROWNE_HCMV_INFECTION_48HR_DN	71	28	11	3
KRIGE_RESPONSE_TO_TOSEDOSTAT_6HR_UP	77	31	10	7
ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_UP	58	18	8	2
MYCMAX_03	57	15	7	5
GSE29615_CTRL_VS_DAY3_LAIV_IFLU_VACCINE_PBMC_DN	48	13	5	3
GSE17974_IL4_AND_ANTI_IL12_VS_UNTREATED_12H_ACT_CD4_TCELL_UP	51	16	8	4
GSE32423_IL7_VS_IL7_IL4_MEMORY_CD8_TCELL_DN	51	12	5	2
SOX5_01	77	30	10	5
RODRIGUES_THYROID_CARCINOMA_POORLY_DIFFERENTIATED_DN	81	31	13	8
GATA1_04	75	26	12	5
MCBRYAN_PUBERTAL_BREAST_6_7WK_UP	62	19	10	5
TCCCRNNRTGC_UNKNOWN	53	14	7	3
NKX62_Q2	77	28	13	7
TATA_C	77	31	12	6
RGAANNTTC_HSF1_01	67	25	9	4
GSE25123_IL4_VS_IL4_AND_ROSIGLITAZONE_STIM_MACROPHAGE_DAY10_DN	54	13	7	2
ATGTACA_MIR493	82	37	12	5
SF1_Q6	62	21	10	5
IK1_01	68	23	10	6
GSE9988_LPS_VS_VEHICLE_TREATED_MONOCYTE_DN	55	14	10	4
GOBERT_OLIGODENDROCYTE_DIFFERENTIATION_UP	66	23	9	6
RFX1_01	63	18	7	4
AREB6_01	69	24	11	5
REACTOME_HEMOSTASIS	73	23	12	8
FOXM1_01	77	30	12	6
GARY_CD5_TARGETS_UP	63	18	10	5
KRIGE_RESPONSE_TO_TOSEDOSTAT_24HR_UP	79	30	11	6
KEGG_MAPK_SIGNALING_PATHWAY	66	21	11	4
GSE29618_LAIV_VS_TIV_FLU_VACCINE_DAY7_BCELL_DN	58	16	8	4
GSE360_CTRL_VS_B_MALAYI_LOW_DOSE_MAC_UP	59	17	10	5
GGATTA_PITX2_Q2	84	37	12	6
PUJANA_CHEK2_PCC_NETWORK	67	22	12	5
GATAAGR_GATA_C	69	27	14	4
GATA_C	64	21	9	2
HNF1_C	66	24	11	5
SMTTTTGT_UNKNOWN	79	36	11	4
PID_VEGFR1_2_PATHWAY	58	16	8	5
SPIELMAN_LYMPHOBLAST_EUROPEAN_VS_ASIAN_DN	57	16	8	2
BENPORATH_NANOG_TARGETS	81	33	13	5
GSE17721_0.5H_VS_8H_LPS_BMDC_UP	51	13	6	3
GATA_Q6	59	16	5	3
GFI1_01	77	30	13	7
AAGCCAT_MIR135A_MIR135B	67	21	9	5
MILI_PSEUDOPODIA_HAPTOTAXIS_DN	69	20	11	7
FREAC3_01	66	21	8	5
GSE41176_UNSTIM_VS_ANTI_IGM_STIM_BCELL_24H_DN	59	18	11	3
CRX_Q4	70	27	9	5
SRY_02	79	34	11	7
MIKKELSEN_NPC_HCP_WITH_H3K27ME3	81	31	10	7
CHEN_HOXA5_TARGETS_9HR_UP	52	14	6	3
ATGTCAC_MIR489	64	20	11	4
GSE360_T_GONDII_VS_B_MALAYI_LOW_DOSE_MAC_DN	50	12	6	3
EGR1_01	76	27	12	7
CIZ_01	65	20	8	3
YATTNATC_UNKNOWN	82	35	10	6
TCANNTGAY_SREBP1_01	69	26	14	4
GSE31082_DN_VS_CD4_SP_THYMOCYTE_DN	68	20	10	7
GSE9988_ANTI_TREM1_AND_LPS_VS_CTRL_TREATED_MONOCYTES_DN	58	14	7	4
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	59	17	7	6
MARTINEZ_RB1_TARGETS_UP	74	26	12	8
TEF1_Q6	58	18	9	3
MYCMAX_B	66	22	9	4
GSE1791_CTRL_VS_NEUROMEDINU_IN_T_CELL_LINE_3H_UP	54	18	9	3
TGCGCANK_UNKNOWN	63	20	8	2
TGGTGCT_MIR29A_MIR29B_MIR29C	73	26	10	6
BROWNE_HCMV_INFECTION_1HR_DN	63	19	9	4
CASORELLI_ACUTE_PROMYELOCYTIC_LEUKEMIA_DN	67	20	9	5
REACTOME_IMMUNE_SYSTEM	76	28	12	6
RODRIGUES_THYROID_CARCINOMA_ANAPLASTIC_DN	78	33	10	4
GSE41176_WT_VS_TAK1_KO_ANTI_IGM_STIM_BCELL_24H_UP	50	10	5	3
GSE10325_CD4_TCELL_VS_BCELL_UP	60	20	10	3
CEBP_Q2_01	70	28	10	4
GSE21927_SPLEEN_C57BL6_VS_EL4_TUMOR_BALBC_MONOCYTES_UP	58	17	7	4
NFAT_Q4_01	70	25	10	5
PASQUALUCCI_LYMPHOMA_BY_GC_STAGE_DN	57	16	9	3
BASAKI_YBX1_TARGETS_DN	61	20	9	4
HSF1_01	56	14	6	3
TITF1_Q3	66	22	10	6
CHEMNITZ_RESPONSE_TO_PROSTAGLANDIN_E2_DN	70	24	8	3
CHOP_01	66	23	10	5
GSE3920_IFNA_VS_IFNB_TREATED_ENDOTHELIAL_CELL_DN	57	18	9	4
SP3_Q3	63	19	9	5
GSE32164_RESTING_DIFFERENTIATED_VS_CMYC_INHIBITED_MACROPHAGE_UP	58	18	9	3
ETS1_B	69	24	11	6
TTCYNRGAA_STAT5B_01	69	25	13	6
GATA1_02	73	26	11	6
MARTORIATI_MDM4_TARGETS_FETAL_LIVER_DN	83	33	13	6
CUI_TCF21_TARGETS_2_DN	94	44	11	8
KOYAMA_SEMA3B_TARGETS_DN	61	21	8	3
GSE13411_SWITCHED_MEMORY_BCELL_VS_PLASMA_CELL_UP	55	15	10	3
MYCMAX_02	65	20	9	6
DELYS_THYROID_CANCER_UP	68	21	9	5
MCBRYAN_PUBERTAL_BREAST_5_6WK_DN	52	14	6	3
HP1SITEFACTOR_Q6	68	23	12	5
GSE23925_DARK_ZONE_VS_NAIVE_BCELL_DN	47	9	4	2
LEE_BMP2_TARGETS_UP	82	31	13	7
YTATTTTNR_MEF2_02	89	41	12	7
ZF5_01	60	18	9	5
PID_ENDOTHELIN_PATHWAY	50	13	4	2
PID_LYSOPHOSPHOLIPID_PATHWAY	54	15	6	2
HNF3ALPHA_Q6	66	21	9	4
GSE22601_CD4_SINGLE_POSITIVE_VS_CD8_SINGLE_POSITIVE_THYMOCYTE_UP	56	17	8	4
MZF1_02	68	22	9	4
MARTINEZ_TP53_TARGETS_DN	76	27	11	7
RASHI_RESPONSE_TO_IONIZING_RADIATION_5	50	10	5	3
GSE15750_DAY6_VS_DAY10_EFF_CD8_TCELL_DN	56	14	8	5
GSE6674_PL2_3_VS_ANTI_IGM_AND_CPG_STIM_BCELL_UP	56	16	8	4
SRF_Q5_01	68	25	11	4
DODD_NASOPHARYNGEAL_CARCINOMA_DN	83	36	11	6
RACCACAR_AML_Q6	65	22	11	5
TGCTGCT_MIR15A_MIR16_MIR15B_MIR195_MIR424_MIR497	84	33	13	7
GCACTTT_MIR175P_MIR20A_MIR106A_MIR106B_MIR20B_MIR519D	83	33	12	8
HFH3_01	69	22	9	4
RREB1_01	65	19	11	7
KEGG_VEGF_SIGNALING_PATHWAY	42	9	3	2
TEF_Q6	70	26	9	4
GSE9988_ANTI_TREM1_VS_VEHICLE_TREATED_MONOCYTES_DN	59	15	9	5
HNF4_01	67	21	11	6
TTTGCAC_MIR19A_MIR19B	88	40	12	5
JOHNSTONE_PARVB_TARGETS_3_DN	68	22	9	6
GSE360_L_MAJOR_VS_M_TUBERCULOSIS_DC_UP	65	20	9	4
KIM_WT1_TARGETS_DN	55	17	9	5
MULLIGHAN_MLL_SIGNATURE_2_UP	52	13	7	4
GSE369_PRE_VS_POST_IL6_INJECTION_IFNG_KO_LIVER_DN	49	13	5	3
GSE17721_0.5H_VS_8H_CPG_BMDC_UP	46	10	6	2
GENTILE_UV_HIGH_DOSE_DN	60	19	8	2
AHR_Q5	60	17	8	7
TTGCACT_MIR130A_MIR301_MIR130B	86	37	13	6
STK33_NOMO_DN	65	21	11	4
TGCCAAR_NF1_Q6	88	40	13	6
GCCATNTTG_YY1_Q6	64	20	9	4
MAZR_01	63	14	7	7
GSE40274_CTRL_VS_FOXP3_AND_IRF4_TRANSDUCED_ACTIVATED_CD4_TCELL_DN	49	11	5	3
STAT6_02	63	19	9	4
GRAESSMANN_APOPTOSIS_BY_DOXORUBICIN_UP	73	23	10	7
AP4_Q6_01	57	19	7	2
NUYTTEN_EZH2_TARGETS_UP	87	36	13	7
GATA3_01	73	26	12	7
TGACATY_UNKNOWN	98	45	15	7
PEREZ_TP53_TARGETS	76	28	11	7
GTGCAAT_MIR25_MIR32_MIR92_MIR363_MIR367	63	21	7	3
GINESTIER_BREAST_CANCER_ZNF217_AMPLIFIED_DN	55	14	5	4
NMYC_01	67	21	9	6
PDGF_ERK_DN.V1_DN	51	11	7	5
GSE17721_LPS_VS_GARDIQUIMOD_6H_BMDC_UP	55	13	6	3
LINDGREN_BLADDER_CANCER_CLUSTER_1_DN	62	19	9	4
OCT1_03	68	25	10	5
MONNIER_POSTRADIATION_TUMOR_ESCAPE_UP	70	24	11	5
OCT1_04	89	41	14	5
DAVICIONI_MOLECULAR_ARMS_VS_ERMS_UP	74	27	8	5
WEI_MYCN_TARGETS_WITH_E_BOX	63	20	7	6
GRAESSMANN_RESPONSE_TO_MC_AND_DOXORUBICIN_DN	78	27	11	6
MAX_01	66	20	9	4
GSE11961_FOLLICULAR_BCELL_VS_GERMINAL_CENTER_BCELL_DAY7_DN	58	17	8	3
SENESE_HDAC3_TARGETS_UP	77	28	12	6
NFAT_Q6	69	25	11	5
GSE24210_CTRL_VS_IL35_TREATED_TCONV_CD4_TCELL_UP	56	16	5	3
GATA1_01	63	20	10	5
AGCACTT_MIR93_MIR302A_MIR302B_MIR302C_MIR302D_MIR372_MIR373_MIR520E_MIR520A_MIR526B_MIR520B_MIR520C_MIR520D	74	25	12	8
STEIN_ESRRA_TARGETS	65	21	11	3
KEGG_AXON_GUIDANCE	59	19	6	2
GSE2585_AIRE_KO_VS_WT_CD80_LOW_MTEC_DN	45	11	6	2
MARTINEZ_RB1_AND_TP53_TARGETS_DN	70	24	12	6
USF_02	55	15	6	3
SPZ1_01	65	24	11	5
GSE41176_UNSTIM_VS_ANTI_IGM_STIM_TAK1_KO_BCELL_24H_UP	61	16	9	6
POU1F1_Q6	76	29	11	4
RSRFC4_01	67	21	6	4
GSE360_HIGH_DOSE_B_MALAYI_VS_M_TUBERCULOSIS_MAC_UP	56	16	10	3
GSE8621_LPS_PRIMED_UNSTIM_VS_LPS_PRIMED_AND_LPS_STIM_MACROPHAGE_UP	53	13	6	2
GSE6259_DEC205_POS_DC_VS_CD4_TCELL_DN	52	11	6	3
YGCGYRCGC_UNKNOWN	62	16	6	5
ONKEN_UVEAL_MELANOMA_DN	66	22	10	6
GSE12366_NAIVE_VS_MEMORY_BCELL_UP	59	19	10	2
REACTOME_DEVELOPMENTAL_BIOLOGY	78	31	10	7
KOINUMA_TARGETS_OF_SMAD2_OR_SMAD3	77	29	11	5
SCHAEFFER_PROSTATE_DEVELOPMENT_6HR_DN	78	31	12	7
FULCHER_INFLAMMATORY_RESPONSE_LECTIN_VS_LPS_UP	64	20	9	3
NABA_MATRISOME	94	40	16	8
NFKB_C	71	22	12	8
GSE17721_LPS_VS_CPG_1H_BMDC_UP	49	9	4	3
MAZ_Q6	58	15	7	5
ISRE_01	75	27	12	7
GATA1_05	66	21	10	4
GSE45365_WT_VS_IFNAR_KO_CD8A_DC_MCMV_INFECTION_UP	54	11	5	3
GSE24142_ADULT_VS_FETAL_DN3_THYMOCYTE_DN	62	19	7	5
GSE17721_0.5H_VS_8H_GARDIQUIMOD_BMDC_UP	53	16	7	2
BENPORATH_SUZ12_TARGETS	107	49	11	8
OCT1_05	80	34	12	6
GINESTIER_BREAST_CANCER_20Q13_AMPLIFICATION_DN	53	12	5	4
OCT1_02	75	29	10	5
RSRFC4_Q2	64	18	6	5
GSE7460_FOXP3_MUT_VS_HET_ACT_TCONV_UP	55	16	9	4
TST1_01	67	24	11	4
HLF_01	69	26	12	6
CCCNNGGGAR_OLF1_01	65	20	10	5
TGCTGAY_UNKNOWN	75	29	13	6
GSE17721_12H_VS_24H_GARDIQUIMOD_BMDC_UP	60	17	9	6
CACTGCC_MIR34A_MIR34C_MIR449	68	23	10	3
MZF1_01	59	19	11	4
E4BP4_01	63	19	8	5
GSE36826_WT_VS_IL1R_KO_SKIN_UP	55	14	6	3
NFKAPPAB65_01	59	17	9	6
VEGF_A_UP.V1_UP	63	17	9	4
GSE3039_NKT_CELL_VS_B1_BCELL_DN	53	13	6	2
GSE360_DC_VS_MAC_B_MALAYI_HIGH_DOSE_DN	49	12	6	2
GSE22611_MUTANT_NOD2_TRANSDUCED_VS_CTRL_HEK293T_STIMULATED_WITH_MDP_6H_UP	54	15	7	3
GSE17721_LPS_VS_PAM3CSK4_12H_BMDC_UP	58	17	9	4
CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_3	71	27	12	6
AAAGACA_MIR511	62	19	8	5
ACCAAAG_MIR9	87	38	16	7
SCHAEFFER_PROSTATE_DEVELOPMENT_12HR_UP	54	15	6	3
USF_01	57	16	7	4
REACTOME_DOWNSTREAM_SIGNAL_TRANSDUCTION	52	13	8	4
GSE19772_HCMV_INFL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_UP	55	14	7	3
GSE29164_DAY3_VS_DAY7_CD8_TCELL_TREATED_MELANOMA_UP	65	19	8	4
GSE14415_INDUCED_TREG_VS_FAILED_INDUCED_TREG_DN	60	18	8	5
GSE17721_POLYIC_VS_GARDIQUIMOD_16H_BMDC_UP	51	14	8	2
GSE3039_ALPHAALPHA_CD8_TCELL_VS_B1_BCELL_DN	55	16	8	5
EVI1_04	72	28	12	4
GSE41867_DAY8_VS_DAY15_LCMV_CLONE13_EFFECTOR_CD8_TCELL_UP	62	20	8	5
GSE7548_NAIVE_VS_DAY7_PCC_IMMUNIZATION_CD4_TCELL_UP	56	16	9	5
GSE24671_CTRL_VS_BAKIMULC_INFECTED_MOUSE_SPLENOCYTES_UP	63	18	9	4
GSE26351_UNSTIM_VS_WNT_PATHWAY_STIM_HEMATOPOIETIC_PROGENITORS_UP	62	17	10	7
MULLIGHAN_MLL_SIGNATURE_1_UP	59	16	8	5
PTF1BETA_Q6	77	31	11	4
SP1_Q4_01	63	19	9	6
MYB_Q6	62	22	9	6
LOPEZ_MBD_TARGETS	75	26	12	7
TTF1_Q6	68	19	8	6
GSE9988_LOW_LPS_VS_VEHICLE_TREATED_MONOCYTE_DN	58	17	12	5
ETS_Q4	60	18	8	6
GSE17721_LPS_VS_GARDIQUIMOD_6H_BMDC_DN	45	9	3	2
MEF2_03	62	18	6	3
BLALOCK_ALZHEIMERS_DISEASE_INCIPIENT_UP	61	20	9	3
GSE6259_BCELL_VS_CD4_TCELL_UP	54	13	8	3
GSE41867_NAIVE_VS_DAY8_LCMV_ARMSTRONG_EFFECTOR_CD8_TCELL_DN	53	13	5	3
FREAC2_01	74	27	11	6
PARENT_MTOR_SIGNALING_UP	73	24	13	8
MYCMAX_01	62	18	8	5
GSE26669_CTRL_VS_COSTIM_BLOCK_MLR_CD8_TCELL_DN	58	17	9	3
GSE19198_CTRL_VS_IL21_TREATED_TCELL_24H_DN	56	16	6	3
GSE8685_IL2_STARVED_VS_IL21_ACT_IL2_STARVED_CD4_TCELL_UP	55	16	9	4
STAT3_02	63	20	10	6
REACTOME_SIGNALING_BY_PDGF	51	13	8	4
SMID_BREAST_CANCER_NORMAL_LIKE_UP	68	26	10	5
GSE23502_BM_VS_COLON_TUMOR_HDC_KO_MYELOID_DERIVED_SUPPRESSOR_CELL_DN	53	14	6	3
GSE40655_FOXO1_KO_VS_WT_NTREG_UP	59	17	8	4
YCATTAA_UNKNOWN	88	37	13	6
GSE5589_LPS_VS_LPS_AND_IL10_STIM_IL6_KO_MACROPHAGE_180MIN_UP	59	17	8	4
FOXD3_01	72	25	12	6
GSE3982_BASOPHIL_VS_TH1_UP	55	18	9	3
GSE17721_PAM3CSK4_VS_GADIQUIMOD_8H_BMDC_DN	50	11	6	3
GSE3565_DUSP1_VS_WT_SPLENOCYTES_UP	54	17	8	4
GSE18281_PERIMEDULLARY_CORTICAL_REGION_VS_WHOLE_MEDULLA_THYMUS_UP	54	21	10	3
GSE43863_TFH_VS_LY6C_LOW_CXCR5NEG_EFFECTOR_CD4_TCELL_DN	61	18	10	5
GSE39152_SPLEEN_CD103_NEG_VS_BRAIN_CD103_POS_MEMORY_CD8_TCELL_DN	49	14	8	3
GSE22140_HEALTHY_VS_ARTHRITIC_MOUSE_CD4_TCELL_DN	56	13	7	4
MULLIGHAN_NPM1_SIGNATURE_3_UP	64	22	9	5
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	45	12	7	3
CTTTAAR_UNKNOWN	98	46	15	9
GSE3982_DC_VS_BASOPHIL_UP	53	14	6	3
GSE17721_CPG_VS_GARDIQUIMOD_2H_BMDC_DN	45	10	5	2
GSE24671_BAKIMULC_VS_SENDAI_VIRUS_INFECTED_MOUSE_SPLENOCYTES_DN	52	12	6	2
GSE31082_DN_VS_CD8_SP_THYMOCYTE_DN	59	16	9	5
GSE29618_BCELL_VS_MONOCYTE_DAY7_FLU_VACCINE_DN	49	13	5	2
AATGTGA_MIR23A_MIR23B	82	34	13	7
GSE1460_NAIVE_CD4_TCELL_CORD_BLOOD_VS_THYMIC_STROMAL_CELL_UP	55	13	7	5
GSE17721_CTRL_VS_LPS_1H_BMDC_UP	50	10	5	2
GSE19941_UNSTIM_VS_LPS_AND_IL10_STIM_IL10_KO_MACROPHAGE_UP	64	19	10	4
SANSOM_APC_TARGETS_DN	61	16	10	6
NFKB_Q6	67	23	11	6
KEGG_CHEMOKINE_SIGNALING_PATHWAY	58	17	8	4
NKX25_02	64	23	8	3
GSE11961_MARGINAL_ZONE_BCELL_VS_GERMINAL_CENTER_BCELL_DAY40_UP	55	19	8	3
MYOD_Q6	63	20	10	6
GSE12198_CTRL_VS_HIGH_IL2_STIM_NK_CELL_UP	62	19	11	4
AAANWWTGC_UNKNOWN	73	27	9	5
CACTGTG_MIR128A_MIR128B	77	34	11	5
GSE13887_ACT_CD4_VS_NO_TREATED_CD4_TCELL_DN	49	14	5	3
GSE23925_LIGHT_ZONE_VS_DARK_ZONE_BCELL_UP	51	12	5	4
GSE2128_CTRL_VS_MIMETOPE_NEGATIVE_SELECTION_DP_THYMOCYTE_NOD_DN	51	14	7	3
GSE1460_DP_THYMOCYTE_VS_THYMIC_STROMAL_CELL_UP	51	12	6	3
GSE22886_NAIVE_BCELL_VS_MONOCYTE_UP	55	18	7	2
VDR_Q3	64	20	9	4
ACEVEDO_METHYLATED_IN_LIVER_CANCER_DN	101	53	15	7
LEE_BMP2_TARGETS_DN	66	20	8	5
HSF2_01	56	15	6	3
GSE19923_HEB_KO_VS_HEB_AND_E2A_KO_DP_THYMOCYTE_DN	53	17	10	5
ATATGCA_MIR448	68	25	7	3
ACEVEDO_LIVER_CANCER_UP	63	21	9	4
PAX4_02	78	31	15	7
PID_PDGFRB_PATHWAY	57	17	8	6
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	51	11	5	3
